البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
912	8901302098325	AVAS 10MG Tab MICRO /sh		ATROVASTATIN	باكيت	9	3	26	شريط	1098	1098	1500	28553
913	8901302097571	AVAS 20MG Tab MICRO /sh		ATROVASTATIN	باكيت	29	3	87	شريط	1903	1902	2500	165561
914	8901302097540	AVAS 40MG Tab MICRO /sh		ATROVASTATIN	باكيت	52	3	155	شريط	2556	2560	3500	396168
915	6224000219499	avazir drop orchidia					0			3350	3350	5000	
916	3574661493770	AVEENO BABY LOTION				2	0			10000	10000	14000	
917	6629384660248	avehni ملهية				11	0	8		836	836	1500	6690
918	3282770207088	aven cicalfate scar gel/sh				6	0	5		24083	24083	35000	120417
919	3282770100891	aven cleanace hydra crem/sh				17	0	2		22955	24900	30000	45910
920	3282779002738	aven cold crem/sh				24	0	4		15763	15750	23000	63051
921	3282770149524	aven sun block cream tinted				4	0	2		19266	19266	35000	38532
922	3282770149111	aven sun block fluid tinted				3	0	2		19266	19266	25000	38532
923	3282770149487	aven sun block SPF50+ for dry sensitive skin/sh				6	0	2		24083	24083	35000	48167
924		AVENE + CICALFATE CREAM				-8	0	-8		24277	24277	30000	-194216
925		AVENE +50 DRY TOUCH				7	0	2		19688	19267	28000	39375
926	3282770204681	avene cicalfate + cream 100ml				2	0			25056	25056	31500	
927	3282770204667	AVENE CICALFATE PLUS CREAM 40 ML/sh				62	0	11		21044	16500	25000	231488
928	3282770139204	avene cleanance gel 200 ml /sh				55	0	9		15314	17250	25000	137825
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
929	3282770207774	AVENE cleanance gel nettoyant 400ml/sh				81	0	4		20288	23780	30000	81152
930	3282770149548	AVENE CLEANANCE SUNBLOCK 50+				11	0	6		20952	19266	35000	125712
931	3282770112047	AVENE SUNBLOCK FLUIDE-fluid dry touch SPF50+/sh				15	0	8		19267	19267	35000	154133
932	3282779003124	AVENE THERMAL WATER 150 ML/sh				57	0	4		12385	13900	16000	49538
933	3282770138801	AVENE TOLERANCE CONTROL				2	0	1		23250	23250		23250
934	364760724010	avene واقي شمس شفاف 50مل بشره دهنيه فيزيائي					0					35000	
935	8720689016476	avent soother +18m				7	0	7		12871	13000	13000	90100
936	8710103990444	AVENT 125ML رضاعة صغير					0			9746	9750	12000	
937	8720689012096	AVENT 150ML رضاعة مع قابض 6m+/sh				31	0	21		12248	14180	16000	257204
938	8710103667025	avent 200ml قدح مع مقبض				7	0			9750	9750	15000	
939	8710103781943	AVENT 300ML قدح مع قصبة				11	0	2		14180	14180	17000	28360
940	8720689009669	avent 330ml رضاعة افنت كلاسك				3	0			13340	13340	16000	
941	8710103989769	AVENT 330ML رضاعة كبير				24	0			13251	14160	17000	
942	8710103868446	avent anti colic 260 ml				1	0			12100	12100	17000	
943	8710103868743	avent anti colic 330ml feeding bottle				1	0			13770	13770	17000	
944	8904158701708	avent baby powder بدون عطر					0			900	900	2000	
945	8720689012645	avent natural 260ml ممية				1	0			15190	15190	18000	
946	8720689011648	avent natural رضاعة مزدوج 125ml om+/sh				15	0	6		19610	21810	23000	117660
947	8710103868286	avent philips رضاعة 125مل ضد المغص				3	0	1		11550	11550	14000	11550
948	8720689017169	avent soother (6-18) m				3	0	2		12390	12390	15000	24780
949	8720689017503	avent soother 2 pieces				1	2	2		6500	6500	7500	13000
950		avent قدح مع قصبة				8	0			12034	11750	15000	
951	75020045751	avent قدح مع مقبض بطريق 260ML				6	0	1		10500	10500	15000	10500
952	8710103874348	AVENT ممة 9					0			8000	8000	10000	
953	8902399009218	Avir Aciclovir suspension					0					5000	
954	8902399006576	AVIR Cream BP 5%/sh				46	0	3		1429	1430	2000	4288
955	89023990024075	AVIR SYRUP				3	0			4216	4144	5000	
956	6221068101001	A-Viton cap					0					1500	
957		AVOCIN %1 sol				1	0			4272	4272	8000	
958	8684051918846	AVOCOLD SACHET					5			1533	1533	2000	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
959	6285095004636	Avocom 0.1% cream avalon				2	0	1		5900	5900	5500	5900
960	10002795100840100000	Avocom M cream 50mg				3	0	2		7048	9735	12500	14097
961	6285095005374	avocom nasal spray				1	0	1		8340	8340	11000	8340
962	10002795100840100000	Avocom oint. 0.1%				1	0	1		4233	4233	5500	4233
963	10002795100840100000	avocom-m cream 30mg				4	0	1		5900	5900	7500	5900
964	8906044916104	avo-d soft gel cold			باكيت	2	2	5	باكيت	1731	1698	3000	8656
965	8699522196906	Avodart 0.5mg capsul					3					4000	
966	1001417	Avodart 0.5mg capsul اصلي					3					9000	
967	6285095004612	AVOGAIN 2% SOLUTION/sh				15	0	7		6072	6250	10000	42501
968	6285095004629	AVOGAIN 5% SOLUTION / sh				42	0	4		8489	8340	12000	33954
969	10002795100840100000	Avomack Solution 10ml Avalon Pharma /sh				11	0	1		6753	6807	8750	6753
970	10002795100840100000	Avomeb extra oint 0.25				1	0			3072	3072	4000	
971		AVOMEB OINTMENT 30G				1	0			5705	5705	7500	
972	8683229235723	avomega syr avocare				3	0			7095	7095	10000	
973	8683229235433	AVOTONIN DROPS KIDS				5	0			8895	8895	11000	
974	8683229235440	avotonin syrup				4	0			10125	10125	12000	
975	8684543713126	avoxia 90 mg tab			باكيت	1	2	2	شريط	4090	4090	6000	8179
976	8683229235778	AvoZinc plus C syrup 200ml				2	0	1		5750	5750	8000	5750
977	3662361002696	avr gel - creme xerial 30 / sh				1	0	1		21200	21200	25000	21200
978	9504000086350	AWACAND 8/sh					2			3548	3548	4500	
979	9504000014636	Awadelor desloratadine tab /sh					2			1188	1188	2000	
980	9504000088521	awalis 5mg				1	2	2		7504	7504	9000	15008
981	9504000014100	awanelin syr				2	0			1758	1758	3000	
982	9504000088682	AwaPreg cap				3	3	9		702	702	1000	6318
983	9504000088743	AWARYL 6MG TAB					3			2415	2415	2500	
984	9504000014483	awasilvadin cream				1	0	1		1782	1782	3000	1782
985	9504000014452	awazitro 250mg awamedica / sh				12	0	1		2033	2033	3000	2033
986	9504000014469	awazitro 500mg tab /sh				37	0			2406	2442	3500	
987	4031571077838	Axaban 2.5mg Denk / sh			شريط	14	3	41	باكيت	18787	17719	20500	770287
988	4031571077845	Axaban 5mg Denk / sh			شريط	7	3	22	باكيت	18128	17719	20500	398825
989	4031571070907	Axaban-Denk 5mg tab. apixaban					3					20000	
990	79400498014	axe smellapollo box 76gm					0					15000	
991	79400498007	axe smellphoenix box 76gm					0					15000	
992	10002795100840100000	axis y dark spot serum					0					19000	
993	8809115027924	axis-y daily purifying treatment toner				1	0			22600	22600	30000	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
994	8809634610034	Axis-y Dark spot correcting Glow serum /sh				2	0	1		13600	13600	17000	13600
995	8809634610881	Axis-y vagan collagen eye serum /sh				4	0	1		14673	14673	21000	14673
996	6251106802232	Axon 1 gm IV vial					0					4000	
997		aylide 1				1	3	3		1172	1172	1500	3515
998		AYLIDE 1MG TAB VIATRIS			باكيت	2	3	5	شريط	1320	1320	1500	6600
999	9323610004925	Aylide 2mg tablet Mylan					2					2500	
1000	9323610004932	Aylide 3mg tab Mylan			شريط	1	2	2		2965	2965	4000	5930
1001	9323610004949	Aylide 4mg tab Mylan				2	2	4		3730	3730	5000	14922
1002	7640154980877	A-Z 3LAYER				7	0			11380	11380	15000	
1003	4009932923537	A-Z aktiv depot tab/sh			شريط	4	4	18		2908	2930	3750	52341
1004	869098000305	A-Z centraid/sh				85	0	1		5502	5487	7000	5502
1005	6957445463669	AZ MDF 10 CM *9بلاستر رول وردي				1	0	5		1821	1821	3000	9104
1006	6910413524618	AZ MDF 10X10 شاش معقم			كيس		10			339	339	1000	
1007	6957445463652	AZ MDF 7.5 CM بلاستر رول وردي				1	0	6		1438	1438	3000	8625
1008	10002795100840100000	AZ MDF ANTI DECUBITUS MATTRESS				1	0	1		36255	36255	50000	36255
1009	6970470480241	AZ MDF Anti Decubitus mattress /sh				1	0	1		36225	36225	48000	36225
1010	6987452161227	az mdf dental floss					0			1150	1150	4000	
1011	6936827003778	AZ MDF Digital Thermometer /sh				1	0			3240	3240	4000	
1012	96408	az mdf gloves large black				3	0	3		5425	5425	6000	16275
1013	6999995580021	AZ MDF HOT PACK PALM					0			26448	26448	38000	
1014	6987452500033	a-z mdf knee supprt				2	0			2137	2137	4000	
1015	6914054843947	AZ MDF Latex Gloves /sh				2	0	2		1620	1620	2000	3240
1016	6987452162842	az mdf plaster 10/3m				11	0			1500	1500	3000	
1017	6910413330073	az mdf urine bag 2000ml				2	10	18		394	394	500	7092
1018	6902508010021	az mdf ابيض كفوف				1	0			4830	4830	6000	
1019	6902508010038	az mdf اسود كفوف				2	0			4830	4830	6000	
1020	6987452162859	AZ MDF جهاز ضغط				2	0			34335	34335	50000	
1021	6987452500101	AZ MDF جواريب دوالي				1	0			5061	5061	10000	
1022	6987452500163	az mdf حزام كتف shoulder suppot				1	0	1		11807	11807	14000	11807
1023	6910413330011	az mdf حقنة طبية 89 مل					0	2		2969	2969	4000	5938
1024	6998544451546	az mdf سدادة اذن/sh					0			990	990	2000	
1025	6987452163290	az mdf سماعه طبيب/sh				3	0	3		4225	4088	9000	12676
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
1026	10002795100840100000	az mdf لاصق جرح					0					1000	
1027	6938056200348	AZ MDF لصقة عين كبار /sh					50			98	98	250	
1028	6998544451553	az mdf لصقه عين اطفال/sh			قطعة		50			98	98	500	
1029	6936827000999	Az MDF محرار /sh				2	0			3306	3306	5000	
1030	10002423	az mdf مخده طبيه صغيره				1	0			16989	16989	22000	
1031	6987452500156	az mdf مسند يد ابهام				3	0			4133	4133	8000	
1032	5060742391625	A-Z multivitamin 30 tab					0					6000	
1033	4005292013376	A-Z vital 60 tab hansal				64	0	2		9721	9721	13000	19442
1034	4005292012829	a-z vital caplets Demosana /sh				21	0			6350	6350	8000	
1035	4001728369116	A-Z VITAL HANSAL 30TAB					0					7000	
1036	4005292013369	A-Z VITAL TAB HANSAL/sh				581	0	68	باكيت	4952	5050	7000	336738
1037	676194992485	A-Z vits 30tab HILVITS/sh				95	0	7		8336	8450	12000	58350
1038	5060829020172	A-Z wise med wise 30 cap / sh 30tab				151	0			4978	4980	8000	
1039	6902025081153	AZ كيس ماء حراري /sh				3	0	2		5100	5100	8000	10200
1040	3791054567522	A-Z لصقة جروح					0		قطعة	455	455	1000	
1041	1	AZ مسند ركبة بدون حديد				7	0	4		11000	11000	15000	44000
1042	6221508121217	Azaderm cr MUP / sh				47	0	1		4828	4828	6500	4828
1043	9323610009845	azavan 30 mg			باكيت	0	3	1	شريط	5276	5276	6000	5276
1044	8901117282360	Azee XL susp					0					3500	
1045	8901117101708	AZEE-500 CAP CIPLA					0					3000	
1046	8906044909106	azelamark-f nasal spray marksans pharma		azelastine hydrochloride &fluticasone propionate			0		باكيت	13790	13790	17000	
1047	6223005660206	AZELAST PLUS 125/50 SPRAY				9	0	1		6145	6145	8000	6145
1048	6210869095350	azelec cream 30g domina / sh				18	0			7081	7839	10000	
1049	6253809160633	azesal cream innovative remedied / sh				4	0	2		14186	14186	18000	28372
1050	89023990003971	azibru 200mg susp				1	0	1		3270	3270	3500	3270
1051	8902399004510	Azibru 250mg 6 capsules Brawn					0			1657	1657	2500	
1052	89023990034425	azibru 250mg capsules brawn				7	0	2		1585	1585	3000	3170
1053	89023990048699	Azibru 500mg 3 capsules Brawn /sh				263	0	4	باكيت	1228	1590	3000	4913
1054	6251158930204	AZICURE 500mg united / sh				28	0		باكيت	3563	3610	5000	
1055	6251158930105	AZICURE SYRUP united / sh				50	0			2002	1646	5000	
1056	8436531242329	Azikern 500mg tab					0					5000	
1057	8901302100400	azilide 500 micro / sh				55	0			1894	1894	4000	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
1058	5904016012802	azimycin 500 mg TZF				8	0			3300	3300	5000	
1059	10002328	AZI-ONCE 250 MG CAP جمجوم		AZITHROMYCIN		38	0		باكيت	4390	4390	5750	
1060	10002795100840100000	AZI-ONCE 250MG CAP JAMJOOM / sh				89	0	11		4409	4389	5750	48501
1061		AZI-ONCE 250MG TAB JAMJOOM					0					6000	
1062	100171230056	Azi-once 500mg tab				24	0	9		3841	3841	5000	34569
1063	10002795100840100000	AZI-ONCE FORTE 500 MG TAB JAMJOOM / sh		AZITHROMYCIN		472	0	28	باكيت	3841	3841	5750	107543
1064		AZI-ONCE FORTE 500TAB جمجوم		AZITHROMYCIN		220	0		باكيت	3535	3840	5250	
1065	10002356	azi-once susp jamjoom/SH				335	0	42	شراب	5500	5380	7000	231020
1066		AZI-ONCE Susp جمجوم		AZITHROMYCIN		140	0	14	شراب	5376	5376	7250	75264
1067	8906045944960	azirin 250 caps				2	0	1		1705	1705	4000	1705
1068	8906045949583	AZIRIN 500 CAP				30	0	1		1863	1869	4000	1863
1069	8699525282149	aziro 200mg susp				18	0	8		5534	5486	7250	44272
1070	100171230095	Azithro 500mg tab scilife					0					4000	
1071	500330708042021	azithro kindin 500mg tab				2	0	1		1980	1980	3000	1980
1072	8906176620016	azithro nova ds suspension novatra / sh				5	0			2137	2140	3000	
1073	10002795100840100000	azithro suspension sci-life				2	0	2		3115	3115	5000	6230
1074	8941100350447	azithrocin 500 tab				2	3	6		1500	1500	2000	9000
1075	4031571070341	Azithro-denk 250 mg			باكيت		1			5822	5822	8000	
1076	4031571070358	azithro-denk 500 tab				13	0	3		5705	5705	7000	17115
1077	4031571080999	AZITHRO-DENK 500MG 3TAB				31	0	1		5705	5705	7500	5705
1078	6211327121765	AZITHROMYCIN 500 medico				72	0	1		1597	1597	3000	1597
1079	8435232335262	Azithromycin 500mg cap Normon /sh				40	0	1		5750	5750	7500	5750
1080	5060464501203	azithromycin 500mg flamingo				27	0			5950	5950	7000	
1081	8435232338133	Azithromycin 500mg sachet Normon					0					7500	
1082	5032845605466	AZITHROMYCIN-COX 500MG TAB				41	0	1		1601	1445	4000	1601
1083	10002795100840100000	AZITHROMYCIN-MDI 500				5	0	1		1320	1320	2000	1320
1084	4680020189600	AZITHROMYCIN-OZON 500				4	0			3533	3533	5000	
1085	8906176620566	azithro-nova 500				2	0			1710	1710	4000	
1086	100865010128	AZITHROSAM 500 SDI				17	0			1404	1404	2000	
1087	8904187879188	AZITHROSOL 500MG TAB					0			1974	1974	3000	
1088	7640175850012	Azithrox 500mg tab				12	0	1		5500	5500	5000	5500
1089	8699525092915	azitro 250 deva / sh				3	0			3292	3292	4500	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
1090	8699525092267	Azitro 500mg tab Deva / sh				85	0	1		2695	2595	3750	2695
1091	1001607985	Azitromicina Azevedos 500 mg tab					0					4500	
1092	4275483	Azitromicina basi 500mg tab					0					4000	
1093	6221508516310	azolmigra 2.5mg					0		باكيت	5446	5510	8000	
1094	6291100082605	azomycin susp 200mg جلفار				2	0			7707	7707	7500	
1095	6251106700309	Azonit-D 20gm cream دولية				3	0	2		4389	4389	6000	8778
1096	6251107425393	azord 125mg 40ml syrup				3	0			5487	5487	7250	
1097	6251107425386	Azord 300mg Tab Dar Al-dawa /sh				22	0	7		9037	10973	14500	63256
1098	6251107425485	Azord 80ml sup				18	0	2		7686	9655	14500	15371
1099	6251154278010	azox 500mg tab / sh				25	0			2780	2780	5500	
1100	8699502091412	Azro 500mg tab sanofi &&					0					7000	
1101	7640154981775	B Complex 10 vials/SH mera				1	10	14		1722	1726	2000	24115
1102	707359104068	B complex neuro 60 cap				2	0			40500	40500	45000	
1103	8906113371605	B complex ocean			شرايط		3			1997	1997	3000	
1104	8684543714765	B complex vial omega care			قطعة		10			1538	1538	2000	
1105	3401597432347	B Record plus					10			2258	2250	3000	
1106	5903137540836	b relax caps madamar				1	6	5		2045	2045	4000	10226
1107	10002795100840100000	B relax madamar			شريط	1	6	6	\باكيت	2048	2048	4000	12290
1108	8059796190107	B sub500mcg pharmiland/sh			باكيت		2		شريط	5486	5486	7250	
1109	63935030351	B12 1000 30tab AG				2	0	1		14317	14320	17750	14317
1110	733739004666	B-12 1000 Mcg 100 lozenges Now/sh				34	0	1		21312	21850	33000	21312
1111	96403	b12 1000ug ag				1	0			14320	14320	17750	
1112	63935023773	B12 30tab AG					0					15000	
1113	96619879526	b12 5000 mcg kirkland tab		b12	باكيت		30		باكيت	3737	57000	3000	
1114	676194984732	B12 Ceutica 30 tab					0					16500	
1115	8683400273162	b12 fine chewable / sh				14	0	2	علبة	13305	13295	16500	26610
1116	8606020484923	B12 NEURO MAX 30CAP				1	2	2		3812	3812	5000	7625
1117	6210876045355	B5 Panthenol cream					0	1		4500	4500	4500	4500
1118	733739004208	B-50 100 Veg cap NOW				2	0			27785	27785	26000	
1119		B-6 100mg 100 capsules Now					100					250	
1120	733739004567	B-6 100MG cap. NOW				3	0	2		18000	18000	23000	36000
1121	8410412100342	babaria VIT C body cream/sh				5	0	1		7500	7500	10000	7500
1122	10002795100840100000	babaria vitC body cream					0					10000	
1123	6217258037359	Baby cone 15ml drop				5	0	5		3412	3412	4000	17060
1124	6251060001443	Baby -cone drop / sh				46	0	3		3213	3065	5000	9639
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
1125	5060288390120	baby g				1	0	1		7106	7106	10000	7106
1126	6975294281128	baby gum gloves baby teething mitten				1	0	1		4150	2500	4000	4150
1127	10002795100840100000	baby knee support					0			1488	1488	3000	
1128	6281053212044	baby lotion nono200ml/sh				21	0	3	لوشن	1577	1647	3000	4731
1129	9641996012816	BABY NOSE DROP SAFA				19	0	6	قطرات	1585	1585	2500	9509
1130	6223000010587	BABY REST ORAL DROPS					0					1000	
1131	3574669907545	baby shampo johnson /sh				5	0	2		4153	3900	5000	8307
1132	6290000100181	Baby sunshine vitamin D3 drops Pinnacle					0					3000	
1133	8436631018923	BABY WATERPROOF EAR STICKERS /SH				3	0			1500	1500	3000	
1134	6921993584688	BABY WIPES كلينس مبلل صغير				19	0		كيس	308	200	1000	
1135	3574661422381	baby wipes johnson /sh			قطعة		3			1452	1936	2500	
1136	6977429990318	baby wipes roshi				20	0	7		528	528	1500	3696
1137	MPI-BABY	BABYAid syrup				12	0	1		1666	1650	3000	1666
1138	9641996015213	babygas drops 30ml safa	babygas drops 30ml safa	simethicone 40mg		8	0		باكيت	2508	2508	4000	
1139	6261670801739	babyland feeding pacifier				2	0			1200	1200	5000	
1140	8690927512322	BABYMED TOOTHBRUSH				13	0	1		2200	2200		2200
1141	ACTIVE1000015	back brace for women active حزام تحدب للنساء				1	0	1		14464	14464	18000	14464
1142	7640144122461	baclocalm 10mg tab		baclofen	باكيت		5		شريط	1719	1719	2000	
1143	7640144122478	baclocalm 25mg tab labatec /sh		baclofen	باكيت	3	5	15	شريط	3518	3518	4250	52766
1144	5055565789056	BACLOFEN 10 ACCORD		BACLOFEN	باكيت		6		شريط	2134	2134	2500	
1145	5012617020840	Baclofen 10mg 84 tablets Actavis					6					2500	
1146	7640153087409	BACTIFLOX 500MG TAB ACINO /sh		CIPROFLOXACIN		81	0	7	باكيت	10523	10535	13750	73661
1147	7640153087416	BACTIFLOX 750mg Tab ACINO /sh		CIPROFLOXACIN		12	0	4	باكيت	13305	13294	16500	53218
1148	7640153083968	BACTIFLOX NEO 500MG TAB ACINO					0					12000	
1149	7640153083975	BACTIFLOX NEO 750MG					0					16000	
1150	8901302124307	BACTOCLAV 1G 14TAB MICRO /sh		AMOXICILLIN \ POTASSIUM CLAVUNATE	باكيت	1	2	2	شريط	3183	3183	4000	6365
1151	8901302123126	BACTOCLAV 625mg / sh		AMOXICILLIN \ POTASSIUM CLAVULANATE	باكيت	2	2	3	شريط	3290	3292	4250	9870
1152	8901302123119	Bactoclav 625mg 10 tab Micro					0					4000	
1153	2800280306025	bactrimel slokia forte 800+160 eumediga					0					12000	
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
1154	8681293078178	BAKING SODA VAGINAL SOAP PURGENE					0					3000	
1155	6946440404241	baking soda vaginal soap/sh				2	0			1730	1730	5000	
1156	8681116612282	Baking soda غسول نسائي					12					3000	
1157	8681116604522	BAKING SODA مضاد للفطريات			درزن	22	0			1580	1750	4000	
1158	6923257713452	BALAY كريم مبيض				2	0			1500	1500	5000	
1159	1001607904	Balclav 312.5mg susp					0					4000	
1160		Balkatrin susp hikma					0		شراب	2770	2770	6000	
1161	8681689310660	BAMBINO ملاطة				1	0			5010	5010	10000	
1162	8690927512285	BAMBOO CHARCOAL TOOTHBRUSH				15	0	4		3300	3300	5000	13200
1163	6976068957195	bamboo nose strips / sh				10	0	8		1900	1900	4000	15200
1164	5836805400180	BAMBOO TOOTHPICK					12			417	417	1000	
1165	10002795100840100000	Bandage 10cm /sh					0					500	
1166	6955887338170	bandage 5*4/sh				2	12	25		125	125	500	3125
1167	6955887338200	bandage 7.5*4/sh					12			192	192	500	
1168	10181073861	bar soap anti acne/sh				20	0	17		8333	8333	15000	141667
1169	100632110013	Barabital SDI					0	8		502	502	1000	4016
1170	1001100	BARBITAL 15MG TAB SDI					0					500	
1171	1001332	Barbital 30mg tab SDI					0					1000	
1172	6251007106804	barrad gel براد /sh				51	0	4	عصارة	4581	4819	5750	18323
1173	10002795100840100000	BASAGLAR KWIKPEN 100UNIT/ML lilly /sh			قطعة	4	5	22		15907	15764	18000	349954
1174	5145743	Basiflux 0.8mg/ml syr					0					5000	
1175	5411566	BASIFLUX 1.6MG/ML SYR					0					6000	
1176	6971188450212	BATTERY TOOTHBRUSH / sh				3	0			7000	7000	12000	
1177	8684543712204	bava-complex vial 10					0			17250	17250	2000	
1178	5949106010580	bb Calm drops tinca pharma/sh				17	0	3		10349	10650	11500	31046
1179	6957855102134	B-co amp صيني					10					1000	
1180	8684543713621	b-complex plus barfa pharma / sh				0	10	3		1660	1660	2000	4981
1181	6251599000139	B-COR 10 JOSWE MEDICAL				2	3	6		1773	1773	2500	10637
1182		BD 4MM واخزة انسولين					100			90	90	250	
1183	382903205905	BD MICRO FINE PLUS نيدل				1	100	57		184	198	250	10467
1184	10002795100840100000	Bdakin Sodium Bicarbonate Powder /sh				3	10	30		135	135	250	4050
1185	10002795100840100000	bdakin sodium bicarbonate sachet				3	10	33		135	135	500	4455
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
1186		BDAKIN غسول					0			1170	1170	3000	
1187	10002795100840100000	beauty cotton pad				9	0	4		917	917	2000	3667
1188	5012251009980	BEAUTY FORMULAS FASCIAL SCRUP/sh				4	0	5		6000	6000	10000	30000
1189	5012251012645	BEAUTY FORMULAS لصقات خشم					0					3000	
1190	8809968130130	BEAUTY OF JOSEON CLEANSING OIL				3	0	1		18000	18000	23000	18000
1191	8809864766884	BEAUTY OF JOSEON matte sun stick spf50+/sh				3	0			14500	14500	18000	
1192	8809738312728	BEAUTY OF JOSEON RICE				2	0	2		19720	16511	27000	39441
1193	8809782555508	Beauty of joseon rice+prebiotics sunscreen/sh				35	0	3		15118	15250	20000	45353
1194	8809968130277	beauty of joseon SUN CREAM SPF50+/SH				33	0	1		15250	15250	22000	15250
1195	6920738010079	beauty اعواد اذن صيني / sh				0	12	1		774	750	1500	774
1196	6251060004222	BEBE CALME syrp					0			6273	6273	7000	
1197	100165	BEBECAL SYR لبناني					0					9000	
1198	5060544650326	Bebos 60mg 3tab					0					7500	
1199	5060544446387	Bebos Plus tab					0					6000	
1200	100846020054	Becardin 10 mg 30tab				2	0			737	737	1500	
1201	*SDI-01COO024*	Becardin 10mg tab sdi					3			239	239	1000	
1202	1001607957	Becardin 40mg tab SDI					0			314	314	750	
1203	8901117086180	BECLATE 250MG INHALER CIPLA					0					9000	
1204	8901117085350	Beclate Beclomethasone nasal spray0.1%					0					9000	
1205	8470007943709	BECLO RINO NASAL SPRAY		BECLO			0		بخاخ	11020	11020	14000	
1206	0104008500074855216052416354521726013110F1407-1	BECOZYME AMP BAYER			باكيت	1	12	12	ابرة	983	983	1500	11801
1207	106285074003933000000000000000000000000000000	BECOZYME FORTE TAB			باكيت		2		شريط	2316	2316	3000	
1208	1001144	BECOZYME FORTE TAB BAYER / sh			شريط	2	2	4	باكيت	2322	2316	3250	9290
1209	6251599001457	BEECUF SYR JOSWE MEDICAL					0					4000	
1210	5281018006061	beeslin lip care /sh				24	0	1		2371	2259	4000	2371
1211	5281018090596	beeslin lip carem coolips1+1/sh				5	2	10		2078	1925	2500	20784
1212		beeslin natural sport pulse(1+1)/sh				1	0	1		12840	12840	15000	12840
1213	5281018088173	beeslin natural whitening/sh				116	0	22		7212	7290	8000	158656
1214	5281018086841	beeslin nutural sport pulse/sh				0	2	1		6201	5875	7500	6201
1215	5281018000212	Beesline Corn Remover Solution /sh				12	0	4		5800	5500	7000	23200
البند	الباركود	الاسم	الاسم الأجنبي	الاسم العلمي	الوحدة2	باكيت	عامل تحويل	الرصيد	الوحدة	السعر الوسطي	آخر شراء	مستهلك	القيمة
1216	5281018004036	BEESLINE FACIAL SOAP/SH				6	0			4353	4350	5000	
1217	5281018007044	BEESLINE FEMININE HYGINIC SOAP /SH				13	0	7		5624	5800	7000	39368
1218	5281018009000	BEESLINE HAIR ASSENTIALS VITAL HAIR FORMULA /SH				1	0	1		18942	18942	23000	18942
1219	5281018010006	BEESLINE HONEY MOISTURIZING SOAP /SH				12	0	8		3021	3040	4000	24165
1220	5281018952504	Beesline keratin conditioner					0					11000	
1221		Beesline Keratin Shampoo شامبو الكيراتين					0			6160	6160	11000	
1222	5281018093320	beesline lip care اخضر / SH				0	2	1		1925	1925	2500	1925
1223	5281018035054	beesline lubricant				6	0	1		8521	8574	12000	8521
1224	10002795100840100000	beesline natural whitening(1+1) /sh				2	2	3		5875	5875	7500	17625
1225	5281018004050	Beesline Propolis Facial wash غسول للوجه بصمغ النحل					0					14000	
1226	5281018086803	beesline roll on deo (1+1)/sh			قطعة	3	2	6	باكيت	6898	11950	7000	41391
1227	5281018709610	beesline roll on deo powder soft					2			5875	5875	8000	
1228	5281018713556	Beesline spray aerosol cucumber &green tea /sh				2	0			9605	9605	11000	
1229	5281018712733	Beesline spray aerosol fragrance free /sh				1	0			9605	9605	11000	
1230	5281018712726	Beesline spray aerosol instant bright /sh				1	0			8638	8638	11000	
1231	5281018712764	Beesline spray aerosol jouri rose /sh				1	0			8638	8638	11000	
1232	5281018712757	Beesline spray aerosol powder sost /sh				1	0			8638	8638	11000	
1233	5281018881385	Beesline whitening & Lifting رغوة مفتحة تصحح التجاعيد					0					16500	
1234	5281018003053	beesline whitening cream				1	0	1		12500	12500	18000	12500
